Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg
0.0,18000000000,-25.8724,-141.3267
0.0,18010000000,-19.7604,156.7444
0.0,18020000000,-17.7843,111.9207
0.0,18030000000,-18.7379,81.0901
0.0,18040000000,-20.5559,69.8904
0.0,18050000000,-19.7758,62.7346
0.0,18060000000,-19.0322,38.1991
0.0,18070000000,-21.0694,0.2421
0.0,18080000000,-27.6525,-57.6691
0.0,18090000000,-30.4323,167.4924
0.0,18100000000,-25.5501,111.5815
0.0,18110000000,-25.1885,101.0095
0.0,18120000000,-21.7010,98.2046
0.0,18130000000,-18.8001,72.0891
0.0,18140000000,-18.9100,39.7330
0.0,18150000000,-21.8347,10.2907
0.0,18160000000,-26.5580,-9.4650
0.0,18170000000,-35.2449,-29.2425
0.0,18180000000,-37.6269,144.8029
0.0,18190000000,-30.4288,122.0034
0.0,18200000000,-26.6629,127.4149
0.0,18210000000,-20.6061,115.6889
0.0,18220000000,-17.6031,83.9063
0.0,18230000000,-17.7453,48.8057
0.0,18240000000,-20.7236,22.5779
0.0,18250000000,-24.8710,20.1115
0.0,18260000000,-26.5233,20.2444
0.0,18270000000,-31.0714,8.0609
0.0,18280000000,-36.1329,105.2260
0.0,18290000000,-24.8622,107.2326
0.0,18300000000,-20.7433,78.7033
0.0,18310000000,-20.2285,46.2145
0.0,18320000000,-23.9322,25.9308
0.0,18330000000,-25.0269,52.8014
0.0,18340000000,-20.4596,31.1838
0.0,18350000000,-20.6233,-20.3038
0.0,18360000000,-24.3963,-103.8104
0.0,18370000000,-23.1076,155.2810
0.0,18380000000,-21.8552,98.6233
0.0,18390000000,-23.0896,78.7343
0.0,18400000000,-21.6315,77.1168
0.0,18410000000,-20.0231,55.3095
0.0,18420000000,-20.7800,29.3203
0.0,18430000000,-23.7637,9.1460
0.0,18440000000,-30.1428,-7.9337
0.0,18450000000,-37.7903,95.1784
0.0,18460000000,-27.0635,91.7149
0.0,18470000000,-25.6961,80.0532
0.0,18480000000,-23.6213,88.0811
0.0,18490000000,-19.6688,73.1603
0.0,18500000000,-18.2960,44.6950
0.0,18510000000,-19.6882,17.7668
0.0,18520000000,-22.7136,-2.3453
0.0,18530000000,-26.9539,-16.3906
0.0,18540000000,-36.6660,-14.2513
0.0,18550000000,-38.4266,89.4783
0.0,18560000000,-29.7779,123.0370
0.0,18570000000,-21.6225,107.7363
0.0,18580000000,-17.9558,74.3121
0.0,18590000000,-18.0496,38.9113
0.0,18600000000,-21.3228,18.1000
0.0,18610000000,-22.4846,26.7207
0.0,18620000000,-21.0785,6.5463
0.0,18630000000,-23.8047,-40.0192
0.0,18640000000,-31.5800,-143.8451
0.0,18650000000,-24.5600,113.2679
0.0,18660000000,-22.0660,74.1639
0.0,18670000000,-22.6828,52.7914
0.0,18680000000,-22.9823,52.4788
0.0,18690000000,-20.6375,46.0015
0.0,18700000000,-19.3535,15.8685
0.0,18710000000,-21.3974,-29.0956
0.0,18720000000,-28.9234,-107.2889
0.0,18730000000,-26.9265,126.6548
0.0,18740000000,-25.0967,81.7717
0.0,18750000000,-24.9276,80.2256
0.0,18760000000,-21.2933,72.9128
0.0,18770000000,-20.2616,48.1112
0.0,18780000000,-21.7823,30.1433
0.0,18790000000,-22.8144,23.6309
0.0,18800000000,-24.8072,7.2008
0.0,18810000000,-33.0788,15.7829
0.0,18820000000,-27.6556,62.5380
0.0,18830000000,-27.0616,43.8836
0.0,18840000000,-28.8448,88.9526
0.0,18850000000,-20.2832,81.7120
0.0,18860000000,-17.5151,45.3011
0.0,18870000000,-18.6813,10.3209
0.0,18880000000,-22.7855,-13.5382
0.0,18890000000,-27.5694,-19.2469
0.0,18900000000,-33.8090,-21.8694
0.0,18910000000,-43.9456,112.5066
0.0,18920000000,-28.7420,128.2569
0.0,18930000000,-21.4652,106.9310
0.0,18940000000,-18.1690,74.9797
0.0,18950000000,-18.7276,45.5816
0.0,18960000000,-21.0601,41.6627
0.0,18970000000,-18.4641,40.6383
0.0,18980000000,-17.3765,7.4919
0.0,18990000000,-21.4822,-38.6110
0.0,19000000000,-42.1922,172.5156
0.0,19010000000,-24.2134,62.3745
0.0,19020000000,-25.2811,32.9842
0.0,19030000000,-26.2028,61.7991
0.0,19040000000,-20.9435,51.7045
0.0,19050000000,-20.3655,25.6583
0.0,19060000000,-22.1170,10.6271
0.0,19070000000,-23.2739,-3.3663
0.0,19080000000,-28.0148,-29.0128
0.0,19090000000,-37.5760,88.2700
0.0,19100000000,-26.6788,67.9046
0.0,19110000000,-26.8270,57.1590
0.0,19120000000,-23.8189,73.2271
0.0,19130000000,-20.1484,55.5082
0.0,19140000000,-20.0385,30.6127
0.0,19150000000,-21.6562,17.3357
0.0,19160000000,-23.1227,11.6135
0.0,19170000000,-25.9017,10.8746
0.0,19180000000,-25.8766,26.5508
0.0,19190000000,-25.7598,15.2742
0.0,19200000000,-32.3104,60.1084
0.0,19210000000,-20.4808,74.4535
0.0,19220000000,-16.5876,34.0945
0.0,19230000000,-17.7281,-7.3620
0.0,19240000000,-24.7378,-24.8403
0.0,19250000000,-22.7225,11.0770
0.0,19260000000,-19.8702,-26.6484
0.0,19270000000,-23.0186,-84.5800
0.0,19280000000,-30.0012,-177.5065
0.0,19290000000,-31.6593,98.1944
0.0,19300000000,-28.6180,108.2489
0.0,19310000000,-21.9140,87.4354
0.0,19320000000,-20.0823,54.6993
0.0,19330000000,-20.6712,32.9235
0.0,19340000000,-20.9548,17.3472
0.0,19350000000,-23.1157,-11.2423
0.0,19360000000,-36.4858,-33.6723
0.0,19370000000,-26.2187,74.5232
0.0,19380000000,-23.1523,42.2441
0.0,19390000000,-25.4723,38.7618
0.0,19400000000,-22.1335,47.6788
0.0,19410000000,-20.1147,22.1985
0.0,19420000000,-22.6418,1.0333
0.0,19430000000,-24.4809,9.6982
0.0,19440000000,-23.2770,-4.6638
0.0,19450000000,-28.6619,-31.3031
0.0,19460000000,-31.9764,51.2751
0.0,19470000000,-26.7755,27.6643
0.0,19480000000,-31.9450,45.5182
0.0,19490000000,-21.9994,66.0398
0.0,19500000000,-18.5209,23.2580
0.0,19510000000,-20.8315,-24.4780
0.0,19520000000,-35.7379,-34.9160
0.0,19530000000,-24.9567,30.8743
0.0,19540000000,-24.8312,-24.5826
0.0,19550000000,-34.6676,-157.6962
0.0,19560000000,-23.1471,89.4802
0.0,19570000000,-21.1328,46.9229
0.0,19580000000,-22.4524,30.0076
0.0,19590000000,-21.5724,24.4336
0.0,19600000000,-21.5601,5.6007
0.0,19610000000,-23.5064,-4.5850
0.0,19620000000,-23.3624,-15.3071
0.0,19630000000,-25.8536,-55.6710
0.0,19640000000,-33.8117,168.5656
0.0,19650000000,-24.9884,71.2338
0.0,19660000000,-26.0354,27.6521
0.0,19670000000,-28.1893,72.0585
0.0,19680000000,-20.1721,56.2220
0.0,19690000000,-19.0587,16.1134
0.0,19700000000,-22.7965,-9.4044
0.0,19710000000,-24.8982,5.6009
0.0,19720000000,-24.5582,-14.7100
0.0,19730000000,-37.0644,-19.4086
0.0,19740000000,-24.4295,51.1644
0.0,19750000000,-21.9435,6.0617
