Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg
0.0,9350000000,-76.5561,99.3346
0.0,9360000000,-62.7540,-0.5084
0.0,9370000000,-69.2723,-76.2014
0.0,9380000000,-65.5907,-39.8518
0.0,9390000000,-75.2492,-121.9428
0.0,9400000000,-59.1805,36.1606
0.0,9410000000,-65.6296,-38.3178
0.0,9420000000,-55.1701,-27.8857
0.0,9430000000,-61.6574,27.9766
0.0,9440000000,-72.1710,44.9885
0.0,9450000000,-60.9116,-12.4593
0.0,9460000000,-66.8302,123.2247
0.0,9470000000,-67.6586,137.4301
0.0,9480000000,-60.8462,170.1026
0.0,9490000000,-64.6471,-140.7773
0.0,9500000000,-59.3959,-106.8846
0.0,9510000000,-56.5701,122.1248
0.0,9520000000,-58.4552,28.1141
0.0,9530000000,-60.4193,-95.0795
0.0,9540000000,-66.3748,-11.9829
0.0,9550000000,-60.7930,79.8470
0.0,9560000000,-60.6594,-168.8416
0.0,9570000000,-56.1705,144.3456
0.0,9580000000,-66.5728,-89.7597
0.0,9590000000,-66.2511,172.7504
0.0,9600000000,-59.4533,123.5892
0.0,9610000000,-60.3514,-78.4696
0.0,9620000000,-63.5673,8.1912
0.0,9630000000,-58.6992,-17.6180
0.0,9640000000,-60.8001,19.2686
0.0,9650000000,-61.9531,-166.8076
0.0,9660000000,-58.6913,-1.0315
0.0,9670000000,-58.8367,-132.4193
0.0,9680000000,-66.3975,-169.9445
0.0,9690000000,-75.0252,43.5563
0.0,9700000000,-63.6375,139.4058
0.0,9710000000,-67.4457,137.7066
0.0,9720000000,-69.9220,-60.1821
0.0,9730000000,-69.8166,89.4500
0.0,9740000000,-76.2155,154.4946
0.0,9750000000,-78.8899,-93.0537
0.0,9760000000,-70.3177,-15.3171
0.0,9770000000,-61.3783,-118.1425
0.0,9780000000,-70.4975,104.5217
0.0,9790000000,-68.4002,30.2267
0.0,9800000000,-66.3023,143.8684
0.0,9810000000,-55.8419,-33.9709
0.0,9820000000,-59.7213,176.4203
0.0,9830000000,-62.3737,-86.7333
0.0,9840000000,-59.8612,-147.5759
0.0,9850000000,-59.0934,-34.4037
0.0,9860000000,-69.4567,-5.5561
0.0,9870000000,-60.3561,-101.5227
0.0,9880000000,-66.9461,-111.3414
0.0,9890000000,-63.1486,144.0366
0.0,9900000000,-56.9491,157.5140
0.0,9910000000,-59.1406,123.7707
0.0,9920000000,-64.6278,-162.0878
0.0,9930000000,-68.5822,144.2208
0.0,9940000000,-63.9823,83.2761
0.0,9950000000,-63.4698,-101.2334
0.0,9960000000,-64.8202,-142.5150
0.0,9970000000,-63.1613,106.7014
0.0,9980000000,-57.7447,107.3434
0.0,9990000000,-59.1327,-71.4797
0.0,10000000000,-62.4775,-139.1385
0.0,10010000000,-67.0781,-167.2765
0.0,10020000000,-77.4503,-17.2219
0.0,10030000000,-58.0619,162.2716
0.0,10040000000,-57.6500,-105.1809
0.0,10050000000,-64.1995,24.5135
0.0,10060000000,-61.2355,139.1390
0.0,10070000000,-65.2784,-164.2963
0.0,10080000000,-69.0305,-121.8821
0.0,10090000000,-61.2175,88.1207
0.0,10100000000,-55.9890,74.9736
0.0,10110000000,-72.5042,-12.1973
0.0,10120000000,-67.7325,160.2211
0.0,10130000000,-58.6443,-116.3981
0.0,10140000000,-64.9192,-33.7214
0.0,10150000000,-63.8191,-3.7960
0.0,10160000000,-59.8249,14.2903
0.0,10170000000,-58.6739,109.8918
0.0,10180000000,-61.4930,48.0154
0.0,10190000000,-58.2110,-80.8322
0.0,10200000000,-70.1970,105.2369
0.0,10210000000,-66.1022,178.7917
0.0,10220000000,-61.7392,47.4948
0.0,10230000000,-73.1015,87.7979
0.0,10240000000,-59.3139,-131.0649
0.0,10250000000,-56.2850,-38.7963
0.0,10260000000,-70.1895,87.7536
0.0,10270000000,-69.7743,-149.7952
0.0,10280000000,-68.5773,92.8562
0.0,10290000000,-63.8309,107.0232
0.0,10300000000,-58.3415,63.7289
0.0,10310000000,-57.5375,178.2913
0.0,10320000000,-68.6770,1.4036
0.0,10330000000,-63.5594,78.3725
0.0,10340000000,-73.1997,90.4293
0.0,10350000000,-66.2146,137.8610
0.0,10360000000,-61.0225,104.5506
0.0,10370000000,-67.8258,39.3249
0.0,10380000000,-68.1818,-21.8024
0.0,10390000000,-59.3035,-128.9226
0.0,10400000000,-58.3581,-126.1892
0.0,10410000000,-58.1628,-163.1218
0.0,10420000000,-76.1213,-140.6560
0.0,10430000000,-62.4608,-106.8900
0.0,10440000000,-59.3535,-87.4920
0.0,10450000000,-57.5959,56.6529
0.0,10460000000,-60.6359,171.5354
0.0,10470000000,-57.7887,-157.7070
0.0,10480000000,-66.3602,160.6992
0.0,10490000000,-68.1610,120.0504
0.0,10500000000,-59.2635,126.0428
0.0,10510000000,-56.4137,-104.5821
0.0,10520000000,-58.9443,155.2395
0.0,10530000000,-63.8176,-36.5558
0.0,10540000000,-71.1997,-153.3549
0.0,10550000000,-70.4138,127.2859
0.0,10560000000,-63.3858,179.0376
0.0,10570000000,-68.7316,-51.2346
0.0,10580000000,-57.6911,17.0420
0.0,10590000000,-61.7972,-0.4230
0.0,10600000000,-64.1858,126.1027
0.0,10610000000,-60.0907,6.9966
0.0,10620000000,-72.3106,171.2382
0.0,10630000000,-63.6656,98.0811
0.0,10640000000,-65.7747,160.7012
0.0,10650000000,-67.8477,-124.5373
0.0,10660000000,-61.2624,-125.6307
0.0,10670000000,-55.9721,79.8909
0.0,10680000000,-53.7054,74.0367
0.0,10690000000,-66.5676,-167.1586
0.0,10700000000,-62.5576,-35.1429
0.0,10710000000,-70.9746,-55.7822
0.0,10720000000,-68.6278,-138.2632
0.0,10730000000,-59.7216,-155.6694
0.0,10740000000,-59.8105,-23.9541
0.0,10750000000,-57.6589,-117.7566
0.0,10760000000,-67.8111,161.0453
0.0,10770000000,-56.5668,-150.8493
0.0,10780000000,-58.9628,154.0063
0.0,10790000000,-65.6399,90.5217
0.0,10800000000,-59.1305,-168.8527
0.0,10810000000,-70.6473,137.1729
0.0,10820000000,-69.3645,137.4636
0.0,10830000000,-62.5533,140.8389
0.0,10840000000,-59.7892,84.1706
0.0,10850000000,-67.0414,-100.9480
0.0,10860000000,-57.1197,166.9517
0.0,10870000000,-83.7890,-46.7012
0.0,10880000000,-71.2973,-103.6442
0.0,10890000000,-60.4445,13.6014
0.0,10900000000,-65.0937,-11.2834
0.0,10910000000,-58.8768,-146.2288
0.0,10920000000,-65.8922,-90.0888
0.0,10930000000,-60.8183,-127.0442
0.0,10940000000,-65.3104,-173.7086
0.0,10950000000,-63.9894,-78.0604
0.0,10960000000,-74.8130,-112.3928
0.0,10970000000,-62.2363,102.0475
0.0,10980000000,-62.4252,64.0876
0.0,10990000000,-58.7674,-16.2892
0.0,11000000000,-61.2500,-113.0281
0.0,11010000000,-62.2297,63.0477
0.0,11020000000,-57.8824,-61.4909
0.0,11030000000,-80.4343,133.2433
0.0,11040000000,-57.3996,172.0826
0.0,11050000000,-59.1795,-63.9961
0.0,11060000000,-62.7602,120.4167
0.0,11070000000,-57.0171,-11.8870
0.0,11080000000,-62.8620,-48.4894
0.0,11090000000,-54.7169,151.0611
0.0,11100000000,-57.9882,53.8420
0.0,11110000000,-73.9345,-116.0489
0.0,11120000000,-60.9881,-1.0882
0.0,11130000000,-59.9893,63.8373
0.0,11140000000,-66.8099,92.9952
0.0,11150000000,-59.4617,-96.2183
0.0,11160000000,-63.0636,-165.7660
0.0,11170000000,-68.4240,57.4594
0.0,11180000000,-64.8981,-40.6623
0.0,11190000000,-74.4319,68.4427
0.0,11200000000,-61.9664,-145.7566
0.0,11210000000,-59.0851,-93.1385
0.0,11220000000,-59.8374,-179.8665
0.0,11230000000,-65.1769,-28.0178
0.0,11240000000,-62.7010,73.7665
0.0,11250000000,-58.4693,121.6123
0.0,11260000000,-61.6076,-142.2993
0.0,11270000000,-60.5941,-50.4583
0.0,11280000000,-64.9678,10.6538
0.0,11290000000,-58.0288,73.2973
0.0,11300000000,-73.0711,-96.5580
0.0,11310000000,-61.8118,107.0211
0.0,11320000000,-57.7170,162.8978
0.0,11330000000,-75.1438,-81.0758
0.0,11340000000,-60.9732,-55.8107
0.0,11350000000,-55.9613,39.5615
0.0,11360000000,-59.4245,132.1238
0.0,11370000000,-55.8587,108.0635
0.0,11380000000,-54.3216,73.7194
0.0,11390000000,-58.4182,122.0164
0.0,11400000000,-59.1138,28.7619
0.0,11410000000,-59.9313,-86.9680
0.0,11420000000,-56.1383,-32.9812
0.0,11430000000,-61.8862,-3.8503
